time, Quad.IMU.AX,,,,
3.929898,-0.188662,,-0.208552,0.043493937,
2.894973,-0.188028,,-0.207918,0.043229895,
0.225,-0.187652,,-0.207542,0.043073682,
3.444933,-0.186308,,-0.206198,0.042517615,
1.215001,-0.186054,,-0.205944,0.042412931,
4.764837,-0.183059,,-0.202949,0.041188297,
0.379999,-0.181714,,-0.201604,0.040644173,
0.819993,-0.179968,,-0.199858,0.03994322,
4.58985,-0.178792,,-0.198682,0.039474537,
4.44486,-0.178443,,-0.198333,0.039335979,
4.299871,-0.176998,,-0.196888,0.038764885,
2.440006,-0.17533,,-0.19522,0.038110848,
4.979822,-0.173067,,-0.192957,0.037232404,
1.074994,-0.172709,,-0.192599,0.037094375,
0.864992,-0.171457,,-0.191347,0.036613674,
4.559852,-0.171285,,-0.191175,0.036547881,
3.254946,-0.166926,,-0.186816,0.034900218,
2.619992,-0.165188,,-0.185078,0.034253866,
4.529854,-0.164478,,-0.184368,0.033991559,
2.335013,-0.164406,,-0.184296,0.033965016,
4.069888,-0.164383,,-0.184273,0.033956539,
1.320006,-0.164201,,-0.184091,0.033889496,
4.164881,-0.163397,,-0.183287,0.033594124,
4.809834,-0.163221,,-0.183111,0.033529638,
1.059994,-0.162992,,-0.182882,0.033445826,
1.900033,-0.162844,,-0.182734,0.033391715,
1.365008,-0.160547,,-0.180437,0.032557511,
4.284872,-0.157791,,-0.177681,0.031570538,
1.2,-0.157387,,-0.177277,0.031427135,
1.595019,-0.153896,,-0.173786,0.030201574,
1.41001,-0.150336,,-0.170226,0.028976891,
2.989966,-0.149996,,-0.169886,0.028861253,
0.12,-0.149822,,-0.169712,0.028802163,
4.079887,-0.147462,,-0.167352,0.028006692,
1.440011,-0.140042,,-0.159932,0.025578245,
4.334868,-0.139505,,-0.159395,0.025406766,
1.725025,-0.139149,,-0.159039,0.025293404,
4.244875,-0.138813,,-0.158703,0.025186642,
2.854975,-0.138502,,-0.158392,0.025088026,
2.10503,-0.137696,,-0.157586,0.024833347,
4.119884,-0.137296,,-0.157186,0.024707439,
2.559997,-0.137273,,-0.157163,0.024700209,
3.289944,-0.135742,,-0.155632,0.024221319,
1.104996,-0.135484,,-0.155374,0.02414108,
